User_ID,Posts_Per_Hour,Last_Videos_Per_Day,Followers_Gain_Overnight,Avg_Followers_Per_Day,Total_Followers,Total_Following,Avg_Post_Length,Avg_Views_Per_Day,Avg_Likes_Per_Day,Avg_Comments_Per_Day,Engagement_Rate,Has_Profile_Picture,Is_Verified,Is_Private,Is_Fake
user_0,114,5,24719,959,147661,42419,114,309611,25397,2579,0.215,1,1,0,Fake
user_1,25,10,11722,26,139813,5505,18,476915,21604,948,0.26,1,1,0,Fake
user_2,281,21,10197,931,43676,18583,476,837519,31643,3644,0.041,0,1,0,Fake
user_3,250,14,19125,623,478862,22726,496,716957,36138,4810,0.075,0,1,0,Fake
user_4,228,20,29006,772,235863,29613,193,704890,38188,18,0.025,1,0,0,Fake
user_5,142,20,17732,914,481703,41029,208,166652,12351,2537,0.172,1,0,0,Fake
user_6,104,41,25411,344,352220,35762,159,153868,37464,2554,0.171,0,1,0,Fake
user_7,558,18,4771,944,44457,33261,59,18968,4585,3689,0.158,1,1,0,Fake
user_8,89,45,4830,848,422300,30007,295,328769,9114,315,0.201,1,0,1,Fake
user_9,432,17,15385,929,349292,49228,143,236863,38681,4115,0.197,0,1,1,Fake
user_10,32,38,10114,268,478854,2346,402,629795,23100,2958,0.241,0,0,1,Fake
user_11,30,41,19769,829,167045,45565,299,948944,25983,3392,0.123,0,0,0,Fake
user_12,95,25,11236,771,451663,42915,108,493233,22997,11,0.188,1,1,1,Fake
user_13,223,17,9537,605,266753,28927,432,711060,6082,4690,0.071,0,1,0,Real
user_14,238,28,12085,221,469667,6007,234,7350,35021,2251,0.095,0,1,1,Fake
user_15,517,49,264,775,59519,23392,287,499173,34922,391,0.256,0,0,0,Fake
user_16,27,23,16963,28,12062,11733,350,500597,28927,3165,0.096,1,1,1,Fake
user_17,574,47,19216,349,425069,15419,442,998216,5261,3712,0.163,1,0,1,Fake
user_18,203,37,21550,743,67384,35649,469,285880,42486,819,0.188,0,1,1,Fake
user_19,558,33,22226,849,422694,26322,160,381008,7480,2424,0.297,1,0,1,Fake
user_20,429,28,4738,636,399540,29332,231,745713,20209,4123,0.274,0,0,0,Fake
user_21,225,26,1878,444,56124,25591,239,292045,34444,3758,0.25,0,1,0,Fake
user_22,459,10,7778,886,127381,31300,301,310657,28084,4313,0.213,1,0,1,Fake
user_23,284,11,16616,437,39014,12844,36,503576,2580,1742,0.15,1,1,0,Fake
user_24,6,1,26843,801,92855,35341,267,761695,3675,566,0.279,1,1,1,Fake
user_25,163,8,27367,746,195763,43039,399,732140,42695,178,0.27,0,1,0,Fake
user_26,432,46,18332,950,34057,12239,255,828332,23662,1621,0.123,0,1,0,Fake
user_27,348,15,28137,753,80743,1718,477,59459,2856,856,0.299,0,0,0,Fake
user_28,284,42,1789,770,299844,40342,379,905490,285,2151,0.056,0,1,1,Fake
user_29,159,16,13830,58,420194,29622,477,557656,47081,2897,0.147,0,1,0,Fake
user_30,220,47,11266,826,124227,18015,19,711874,39548,3192,0.177,1,0,0,Fake
user_31,344,44,6403,111,408355,24933,344,935028,12034,2226,0.215,1,1,1,Fake
